userId,movieId,prediction,rank
1,380,5.119470596313477,1
1,589,4.943992614746094,2
1,10,4.825870513916016,3
1,587,4.804375171661377,4
1,1214,4.7372589111328125,5
1,32,4.735142707824707,6
1,1304,4.6515913009643555,7
1,318,4.590428829193115,8
1,1198,4.588687419891357,9
1,1200,4.583408832550049,10
2,356,5.056215763092041,1
2,2571,4.651495456695557,2
2,296,4.575971603393555,3
2,593,4.484695911407471,4
2,2959,4.339195728302002,5
2,4993,4.312580108642578,6
2,1196,4.279254913330078,7
2,1,4.245933532714844,8
2,260,4.218972682952881,9
2,1198,4.199490547180176,10
3,593,4.868389129638672,1
3,356,4.8536529541015625,2
3,296,4.799752712249756,3
3,318,4.753921031951904,4
3,2571,4.420660018920898,5
3,150,4.365774631500244,6
3,2858,4.302475929260254,7
3,110,4.298593997955322,8
3,480,4.289748191833496,9
3,1210,4.23027229309082,10
4,318,5.264298439025879,1
4,1172,5.0866804122924805,2
4,25,5.028115749359131,3
4,590,4.951247215270996,4
4,1234,4.8324432373046875,5
4,36,4.735274314880371,6
4,2396,4.696299076080322,7
4,2858,4.637155055999756,8
4,480,4.584997177124023,9
4,50,4.572833061218262,10
5,318,4.882399082183838,1
5,593,4.838736534118652,2
5,356,4.677140712738037,3
5,2571,4.398419380187988,4
5,150,4.3659186363220215,5
5,260,4.311019420623779,6
5,480,4.295999050140381,7
5,2858,4.2772111892700195,8
5,1196,4.183953285217285,9
5,1210,4.172445297241211,10
6,292,6.1916093826293945,1
6,225,6.191506385803223,2
6,150,5.99360466003418,3
6,610,5.851314544677734,4
6,161,5.785482406616211,5
6,349,5.757495880126953,6
6,786,5.629374027252197,7
6,708,5.371087551116943,8
6,316,5.370027542114258,9
6,592,5.258514881134033,10
7,2571,4.893040180206299,1
7,6377,4.8857903480529785,2
7,6539,4.847416400909424,3
7,318,4.809593677520752,4
7,356,4.786780834197998,5
7,296,4.765280246734619,6
7,2959,4.764200687408447,7
7,6874,4.744062423706055,8
7,4306,4.730246543884277,9
7,1721,4.699395179748535,10
8,356,4.7916059494018555,1
8,2571,4.523515701293945,2
8,260,4.348726272583008,3
8,2858,4.225562572479248,4
8,1196,4.22329044342041,5
8,1,4.197967052459717,6
8,589,4.1892828941345215,7
8,780,4.1480021476745605,8
8,1198,4.138263702392578,9
8,2959,4.134064674377441,10
9,593,4.940298080444336,1
9,318,4.859995365142822,2
9,296,4.809198379516602,3
9,356,4.63119649887085,4
9,2571,4.524140357971191,5
9,480,4.376925468444824,6
9,260,4.365804195404053,7
9,110,4.348438262939453,8
9,2858,4.240278244018555,9
9,589,4.235464096069336,10
10,79132,6.029443264007568,1
10,58559,5.0951385498046875,2
10,89745,5.055662155151367,3
10,40815,4.938529968261719,4
10,318,4.784247875213623,5
10,1,4.72274923324585,6
10,99114,4.7036919593811035,7
10,8360,4.686040878295898,8
10,68157,4.677908897399902,9
10,81845,4.660068511962891,10
11,296,4.747016429901123,1
11,2571,4.569690704345703,2
11,260,4.363441467285156,3
11,1196,4.321704864501953,4
11,780,4.302474021911621,5
11,2858,4.299670696258545,6
11,592,4.299131870269775,7
11,1,4.280284404754639,8
11,32,4.251727104187012,9
11,1198,4.246501922607422,10
12,318,4.800382137298584,1
12,296,4.789451599121094,2
12,356,4.703016757965088,3
12,593,4.667648792266846,4
12,2571,4.521242618560791,5
12,260,4.483828067779541,6
12,110,4.4672346115112305,7
12,1,4.3535003662109375,8
12,480,4.320810794830322,9
12,527,4.3191142082214355,10
13,356,4.787728786468506,1
13,296,4.77658224105835,2
13,318,4.755022048950195,3
13,593,4.73834228515625,4
13,260,4.445932388305664,5
13,480,4.365841388702393,6
13,110,4.358272075653076,7
13,589,4.298853397369385,8
13,2959,4.281125068664551,9
13,2858,4.281121730804443,10
14,356,4.72038459777832,1
14,2571,4.394941806793213,2
14,260,4.285130023956299,3
14,457,4.248480319976807,4
14,2858,4.218251705169678,5
14,589,4.174778461456299,6
14,1196,4.147747993469238,7
14,380,4.139405250549316,8
14,50,4.123442649841309,9
14,780,4.1168742179870605,10
15,356,5.275596618652344,1
15,58559,4.977350234985352,2
15,7153,4.733672618865967,3
