cluster,cluster-nDCG,ab-ndcg
0,0.4460992859450966,0.24414025587794844
1,0.36695201400241967,0.24414025587794844
2,0.43557033319112104,0.24414025587794844
3,0.16608918179149113,0.24414025587794844
4,0.40302769617897494,0.24414025587794844
5,0.44074418640038654,0.24414025587794844
6,0.41049716181778734,0.24414025587794844
7,0.24984536519564676,0.24414025587794844
8,0.5513917532644131,0.24414025587794844
9,0.419079102309726,0.24414025587794844
10,0.42203805973625935,0.24414025587794844
11,0.46261671336290927,0.24414025587794844
12,0.33811033316248407,0.24414025587794844
13,0.4925994076533961,0.24414025587794844
14,0.5236523462555979,0.24414025587794844
15,0.44044914744372304,0.24414025587794844
16,0.17791809133435763,0.24414025587794844
17,0.35144545102595565,0.24414025587794844
18,0.5401200364708598,0.24414025587794844
19,0.5347148810059109,0.24414025587794844
20,0.47843520568622766,0.24414025587794844
21,0.3322877764565667,0.24414025587794844
22,0.5453048225683643,0.24414025587794844
23,0.4835935587223208,0.24414025587794844
24,0.4361045194369687,0.24414025587794844
25,0.46872802190405666,0.24414025587794844
26,0.14374983829738996,0.24414025587794844
27,0.5775931742140663,0.24414025587794844
28,0.372214886766218,0.24414025587794844
29,0.288530987160316,0.24414025587794844
30,0.31436280901857006,0.24414025587794844
31,0.37388138404434673,0.24414025587794844
32,0.2714644564148437,0.24414025587794844
33,0.4332453858409466,0.24414025587794844
34,0.5053457831081752,0.24414025587794844
35,0.4831446622952109,0.24414025587794844
36,0.33049171308329844,0.24414025587794844
37,0.5207618021054687,0.24414025587794844
38,0.48226003718828936,0.24414025587794844
39,0.44033876619373674,0.24414025587794844
40,0.4686112327206107,0.24414025587794844
41,0.521931542088531,0.24414025587794844
42,0.2790337717209574,0.24414025587794844
43,0.37584781462721933,0.24414025587794844
44,0.402048112144214,0.24414025587794844
45,0.43631485512122814,0.24414025587794844
46,0.4606670587594123,0.24414025587794844
47,0.4652246880685787,0.24414025587794844
48,0.5173744828368344,0.24414025587794844
49,0.45674844170618895,0.24414025587794844
50,0.4740492601882201,0.24414025587794844
51,0.6120297989989222,0.24414025587794844
52,0.5380432718281969,0.24414025587794844
53,0.5277356404887654,0.24414025587794844
54,0.30937535690841206,0.24414025587794844
55,0.3940459612109562,0.24414025587794844
56,0.5151388379791696,0.24414025587794844
57,0.5006971108940376,0.24414025587794844
58,0.40715330394176424,0.24414025587794844
59,0.5549087984703098,0.24414025587794844
60,0.5555794825022238,0.24414025587794844
61,0.4760798936199479,0.24414025587794844
62,0.3936068501833769,0.24414025587794844
63,0.46253074326174765,0.24414025587794844
64,0.43640301868019027,0.24414025587794844
65,0.5162386613369374,0.24414025587794844
66,0.3875704455166872,0.24414025587794844
67,0.416842677808532,0.24414025587794844
68,0.3931382785919971,0.24414025587794844
69,0.31970551584084883,0.24414025587794844
70,0.5154464275896617,0.24414025587794844
71,0.11307402848134473,0.24414025587794844
72,0.5464432122953943,0.24414025587794844
73,0.3622183514856242,0.24414025587794844
74,0.403174121929612,0.24414025587794844
75,0.5553615597985644,0.24414025587794844
76,0.2687578567180912,0.24414025587794844
77,0.18845671413557455,0.24414025587794844
78,0.4466663187502361,0.24414025587794844
79,0.3415962398825412,0.24414025587794844
80,0.5211728305105393,0.24414025587794844
81,0.28983932215737296,0.24414025587794844
82,0.5162637677785133,0.24414025587794844
83,0.45342307327614295,0.24414025587794844
84,0.5491211999884651,0.24414025587794844
85,0.4233636739308521,0.24414025587794844
86,0.48012895359232405,0.24414025587794844
87,0.504792020253687,0.24414025587794844
88,0.3350653870952794,0.24414025587794844
89,0.530556749390678,0.24414025587794844
90,0.5431029412080186,0.24414025587794844
91,0.39814839844523864,0.24414025587794844
92,0.3147369692837078,0.24414025587794844
93,0.36252576446074447,0.24414025587794844
94,0.13513742286604893,0.24414025587794844
95,0.40670016932949205,0.24414025587794844
96,0.5052613736065136,0.24414025587794844
97,0.4972014691132031,0.24414025587794844
98,0.07809012659040863,0.24414025587794844
99,0.5439610110013195,0.24414025587794844
100,0.39076601306361697,0.24414025587794844
101,0.46574632002870725,0.24414025587794844
102,0.4757067715247711,0.24414025587794844
103,0.4695627955016409,0.24414025587794844
104,0.537978907502113,0.24414025587794844
105,0.47752675877957174,0.24414025587794844
106,0.419693893175673,0.24414025587794844
107,0.5253924846935589,0.24414025587794844
108,0.3372531164968889,0.24414025587794844
109,0.37960091991026995,0.24414025587794844
110,0.46145258658266447,0.24414025587794844
111,0.4494087414666732,0.24414025587794844
112,0.48014142497389317,0.24414025587794844
113,0.5231922146490675,0.24414025587794844
114,0.42779513569255556,0.24414025587794844
115,0.41686310476166616,0.24414025587794844
116,0.5118883927918756,0.24414025587794844
117,0.48151158835227,0.24414025587794844
118,0.5321448837735926,0.24414025587794844
119,0.4438450150320549,0.24414025587794844
