cluster,cluster-nDCG,cluster-precision,ndcg,precision
0,0.48744379474982624,0.45999999999999996,0.23317149875100027,0.23317149875100027
1,0.4167643391182395,0.365,0.23317149875100027,0.23317149875100027
2,0.4964293537558137,0.488235294117647,0.23317149875100027,0.23317149875100027
3,0.1943192243047561,0.19999999999999998,0.23317149875100027,0.23317149875100027
4,0.35878822106681024,0.3409090909090909,0.23317149875100027,0.23317149875100027
5,0.4766469651394782,0.46666666666666673,0.23317149875100027,0.23317149875100027
6,0.4351054037692806,0.39499999999999996,0.23317149875100027,0.23317149875100027
7,0.22880735775236846,0.23529411764705882,0.23317149875100027,0.23317149875100027
8,0.5348592068658102,0.5,0.23317149875100027,0.23317149875100027
9,0.4826823313574715,0.4583333333333333,0.23317149875100027,0.23317149875100027
10,0.4293050762630955,0.409090909090909,0.23317149875100027,0.23317149875100027
11,0.45170730321474273,0.3923076923076923,0.23317149875100027,0.23317149875100027
12,0.34939037139527673,0.325,0.23317149875100027,0.23317149875100027
13,0.5733009173567316,0.5473684210526316,0.23317149875100027,0.23317149875100027
14,0.5612344214929973,0.5333333333333333,0.23317149875100027,0.23317149875100027
15,0.500427284448194,0.48181818181818187,0.23317149875100027,0.23317149875100027
16,0.1304491155648514,0.11111111111111113,0.23317149875100027,0.23317149875100027
17,0.41577023673436464,0.38500000000000006,0.23317149875100027,0.23317149875100027
18,0.5372109041930987,0.5,0.23317149875100027,0.23317149875100027
19,0.525371406447919,0.48999999999999994,0.23317149875100027,0.23317149875100027
20,0.45897387190726585,0.4333333333333334,0.23317149875100027,0.23317149875100027
21,0.3477101882376978,0.3466666666666667,0.23317149875100027,0.23317149875100027
22,0.5277338216020582,0.5142857142857142,0.23317149875100027,0.23317149875100027
23,0.49247752745474194,0.5111111111111111,0.23317149875100027,0.23317149875100027
24,0.44059313619088214,0.4111111111111111,0.23317149875100027,0.23317149875100027
25,0.4711883836764556,0.43636363636363645,0.23317149875100027,0.23317149875100027
26,0.10899779209294827,0.1125,0.23317149875100027,0.23317149875100027
